,IssueID,Runid,Edition,IssueDate,isTrain,Main.Suppl,No.Of.Books,Machine,Folder,Print.Order,Gross.Counter,Waste,Avg.Speed,TotalPages,ColorPages,BWPages,BroadSheets,Tabloids,Total.Run.time..Mnts.,Total.Downtime,Number.of.stoppages,W.b.s,Products,Production.Start,Production.End,BookID,Balloon.Folder,Change.Over.Time..Sec.,Change.Over.Type,numBookId,numFails,1/2 Flap,1/2 Flap with Glue,AD Stick,Bookmark,Center Butterfly Flap with Gluing,Center Horizontal Flap in Tabloid,Custom size flap,Fragrance in Newspaper,French Window,French Window with Gluing (Slitting),French Window with Perforation,Front page  Gate Fold with gluing,Full Page Jacket,Full Page with gluing,GLUED HALF FLAP,INTERLOCKING  XL FLAP,Plow Reverse Gate Fold,Power Jacket (GNP),Power Jacket (SNP),Power Jacket With Seamless Panorama,Power jacket with Centrespread,Power jacket with Centrespread Panorama,Reverse Flap,Seamless Panorama,Seamless Panorama  in Tabloid,Spine advt innovation,Super Panorama with Gluing,Super panorama,Times Bookmark,Vertical Perforation,Vertical flap,XXL Innovation,XXXL  Panorama,DOUBLE PANORAMA,GNP.Jacket,dow,startHour,endHour,Product.Type,pullout,integrated,Twin.Folder
12,189731,113520,MTMT_THP_1_020416,02-04-2016,1,main,2,Colorman-B,Press 4,73500,74206,706,69568,22,22,0,22,0,64,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY)+MAH. TIMES-MUMBAI (CITY-THANE BADLAPUR),23:08,00:12,234867,0,86100,Fresh Start,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,>,1,0,0
13,189742,113523,TOIM_0MP_1_020416,02-04-2016,1,main,1,Colorman-B,Press 4,63500,64478,978,67871,32,32,0,32,0,57,0,0,0,THE TIMES OF INDIA-MUMBAI (CITY-2),00:49,01:46,234883,0,5640,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,>,0,0,0
14,189743,189729,TOIV_0MP_1_020416,02-04-2016,1,main,1,Colorman-A,Press 1,73090,76876,3786,65893,36,36,0,36,0,70,7,1,0,TIMES OF INDIA NAVI MUMBAI,02:26,03:36,234884,0,6600,>to>,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,3,>,0,0,0
15,189749,113526,MTMT_THP_1_020416,02-04-2016,1,main,2,Colorman-B,Press 4,34960,35812,852,58073,22,22,0,22,0,37,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY)+MAH. TIMES-MUMBAI (CITY-THANE BADLAPUR),02:12,02:49,234890,0,3780,>to>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,>,1,0,0
16,189751,113510,MMIR_0MP_1_020416,02-04-2016,1,main,1,Colorman-B,Press 3,285960,290188,4228,65210,26,52,0,0,52,267,5,1,0,MUMBAI MIRROR,23:11,03:38,234893,0,23100,Fresh Start,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,3,>,0,0,0
17,189754,113528,MTMT_0MP_1_020416,02-04-2016,1,main,1,Colorman-B,Press 4,39710,40232,522,61895,18,18,0,18,0,39,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY),02:56,03:35,234896,0,2760,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,>,0,0,0
18,189765,189737,TOIT_0MP_1_020416,02-04-2016,1,main,1,Colorman-B,Press 3,31600,32854,1254,75816,36,36,0,36,0,26,0,0,0,THE TIMES OF INDIA - THANE CITY,04:03,04:29,234909,0,3060,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4,4,>,0,0,0
19,189766,189745,TOIT_0MP_1_020416,02-04-2016,1,main,1,Colorman-A,Press 1,30340,31798,1458,68138,36,36,0,36,0,28,0,0,0,THE TIMES OF INDIA - THANE CITY,03:54,04:22,234910,0,2760,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3,4,>,0,0,0
20,189887,113569,MTMT_THP_1_030416,03-04-2016,1,main,2,Colorman-B,Press 4,110560,111526,966,71186,22,22,0,22,0,94,1,1,0,MAHARASHTRA TIMES-MUMBAI (CITY)+MAH. TIMES-MUMBAI (CITY-THANE BADLAPUR),23:00,00:34,235057,0,22260,Fresh Start,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,>,0,1,0
21,189890,113574,MTMT_0MP_1_030416,03-04-2016,1,main,1,Colorman-B,Press 4,39410,40212,802,63492,18,18,0,18,0,38,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY),02:20,02:58,235063,0,3540,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,>,0,0,0
